symbol,period,datetime,open,high,low,close,volume,update_time
300672.XSHG,1day,2020-11-24 15:00:00,51.99,53.43,51.64,52.34,1895878,2020/11/24 15:00
300672.XSHG,1day,2020-11-25 15:00:00,52.34,52.73,51.21,51.34,1524311,2020/11/25 15:00
300672.XSHG,1day,2020-11-26 15:00:00,51.35,51.73,50.46,50.5,1148619,2020/11/26 15:00
300672.XSHG,1day,2020-11-27 15:00:00,50.16,51.82,50.16,50.9,1037198,2020/11/27 15:00
300672.XSHG,1day,2020-11-30 15:00:00,50.82,52.21,50.45,51.53,1441360,2020/11/30 15:00
300672.XSHG,1day,2020-12-01 15:00:00,51.35,52.23,51.34,51.7,921364,2020/12/1 15:00
300672.XSHG,1day,2020-12-02 15:00:00,52.11,52.11,51.45,51.6,1160048,2020/12/2 15:00
300672.XSHG,1day,2020-12-03 15:00:00,51.66,52.04,50.95,51.36,1100684,2020/12/3 15:00
300672.XSHG,1day,2020-12-04 15:00:00,51.36,51.8,51.07,51.32,734222,2020/12/4 15:00
300672.XSHG,1day,2020-12-07 15:00:00,51.79,52.3,51.33,51.33,1219326,2020/12/7 15:00
300672.XSHG,1day,2020-12-08 15:00:00,51.18,51.69,50.86,50.96,1022951,2020/12/8 15:00
300672.XSHG,1day,2020-12-09 15:00:00,50.85,51.3,50.35,50.39,1071196,2020/12/9 15:00
300672.XSHG,1day,2020-12-10 15:00:00,50.47,51.13,50.36,50.47,969808,2020/12/10 15:00
300672.XSHG,1day,2020-12-11 15:00:00,50.35,50.46,45.5,46.25,3741516,2020/12/11 15:00
300672.XSHG,1day,2020-12-14 15:00:00,46.3,46.65,45.91,46.17,1091661,2020/12/14 15:00
300672.XSHG,1day,2020-12-15 15:00:00,46.33,47.28,46.05,46.33,1167275,2020/12/15 15:00
300672.XSHG,1day,2020-12-16 15:00:00,46.45,46.64,45.37,45.6,952242,2020/12/16 15:00
300672.XSHG,1day,2020-12-17 15:00:00,45.37,45.37,43.25,44.97,1747451,2020/12/17 15:00
300672.XSHG,1day,2020-12-18 15:00:00,46,46.57,44.02,44.27,1330844,2020/12/18 15:00
300672.XSHG,1day,2020-12-21 15:00:00,43.97,45.5,43.65,44.91,1102894,2020/12/21 15:00
300672.XSHG,1day,2020-12-22 15:00:00,45.22,45.31,43.16,43.16,1190838,2020/12/22 15:00
300672.XSHG,1day,2020-12-23 15:00:00,43.01,43.9,42.58,43.9,1316504,2020/12/23 15:00
300672.XSHG,1day,2020-12-24 15:00:00,44.38,44.85,42.68,42.79,1240680,2020/12/24 15:00
300672.XSHG,1day,2020-12-25 15:00:00,42.79,43.16,41.09,41.42,1304059,2020/12/25 15:00
300672.XSHG,1day,2020-12-28 15:00:00,41.28,41.66,40.39,41.31,1054847,2020/12/28 15:00
300672.XSHG,1day,2020-12-29 15:00:00,41.32,43.25,41.32,42.59,1162550,2020/12/29 15:00
300672.XSHG,1day,2020-12-30 15:00:00,42.65,43.63,41.38,42.83,1139295,2020/12/30 15:00
300672.XSHG,1day,2020-12-31 15:00:00,42.61,43.73,42.48,43.66,1205891,2020/12/31 15:00
300672.XSHG,1day,2021-01-04 15:00:00,43.43,44.31,43.43,44.07,1089954,2021/1/4 15:00
300672.XSHG,1day,2021-01-05 15:00:00,44.09,45.54,43.88,45.12,2009415,2021/1/5 15:00
300672.XSHG,1day,2021-01-06 15:00:00,45.02,45.31,43.48,43.87,1394828,2021/1/6 15:00
300672.XSHG,1day,2021-01-07 15:00:00,44.31,44.31,42.09,43.24,1353513,2021/1/7 15:00
300672.XSHG,1day,2021-01-08 15:00:00,43.1,44.85,42.71,43.79,1257135,2021/1/8 15:00
300672.XSHG,1day,2021-01-11 15:00:00,43.5,44.87,43,43.01,1401249,2021/1/11 15:00
300672.XSHG,1day,2021-01-12 15:00:00,43.01,43.2,41.86,42.57,1016032,2021/1/12 15:00
300672.XSHG,1day,2021-01-13 15:00:00,42.62,43.66,41.98,43.24,1229552,2021/1/13 15:00
300672.XSHG,1day,2021-01-14 15:00:00,43.68,45.54,43.26,44.78,2725983,2021/1/14 15:00
300672.XSHG,1day,2021-01-15 15:00:00,44.89,46.27,44.41,45.15,1870817,2021/1/15 15:00
300672.XSHG,1day,2021-01-18 15:00:00,44.87,46.24,44.38,46.02,2069785,2021/1/18 15:00
300672.XSHG,1day,2021-01-19 15:00:00,45.69,46.66,45.12,45.17,1653379,2021/1/19 15:00
300672.XSHG,1day,2021-01-20 15:00:00,45.15,45.94,44.42,45.36,1053043,2021/1/20 15:00
300672.XSHG,1day,2021-01-21 15:00:00,45.37,45.96,44.57,44.87,1128962,2021/1/21 15:00
300672.XSHG,1day,2021-01-22 15:00:00,44.87,45.36,43.41,43.59,1264158,2021/1/22 15:00
300672.XSHG,1day,2021-01-25 15:00:00,43.6,43.6,41.48,41.67,1629204,2021/1/25 15:00
300672.XSHG,1day,2021-01-26 15:00:00,42.03,42.68,40.98,41.36,980041,2021/1/26 15:00
300672.XSHG,1day,2021-01-27 15:00:00,40.88,41.66,40.88,41.19,670738,2021/1/27 15:00
300672.XSHG,1day,2021-01-28 15:00:00,40.36,41.45,39.37,39.45,1167875,2021/1/28 15:00
300672.XSHG,1day,2021-01-29 15:00:00,39.43,39.71,37.89,38.37,1244396,2021/1/29 15:00
300672.XSHG,1day,2021-02-01 15:00:00,37.99,38.89,37.44,37.78,872619,2021/2/1 15:00
300672.XSHG,1day,2021-02-02 15:00:00,39.41,44.17,39.41,43.27,3398319,2021/2/2 15:00
300672.XSHG,1day,2021-02-03 15:00:00,40.68,42.18,40.06,40.61,2218311,2021/2/3 15:00
300672.XSHG,1day,2021-02-04 15:00:00,40.64,41.88,39.88,41.54,1710146,2021/2/4 15:00
300672.XSHG,1day,2021-02-05 15:00:00,40.96,41.29,39.98,40.07,1025672,2021/2/5 15:00
300672.XSHG,1day,2021-02-08 15:00:00,40.97,44.15,39.93,42.64,2076697,2021/2/8 15:00
300672.XSHG,1day,2021-02-09 15:00:00,42.75,43.16,41.62,42.83,1628208,2021/2/9 15:00
300672.XSHG,1day,2021-02-10 15:00:00,42.5,43.08,42.09,42.78,964587,2021/2/10 15:00
