symbol,period,datetime,open,high,low,close,volume,update_time
000001.XSHG,1day,2014-8-27 15:00:00,2207.03,2216.62,2204.22,2209.47,12088588800,2014-8-27 15:00:00
000001.XSHG,1day,2014-8-28 15:00:00,2210.48,2219.47,2194.93,2195.82,12422901600,2014-8-28 15:00:00
000001.XSHG,1day,2014-8-29 15:00:00,2198.95,2218.27,2193.35,2217.2,10520249600,2014-8-29 15:00:00
000001.XSHG,1day,2014-9-1 15:00:00,2220.13,2236.28,2217.68,2235.51,12916658400,2014-9-1 15:00:00
000001.XSHG,1day,2014-9-2 15:00:00,2239.68,2267.33,2234.45,2266.05,19212486400,2014-9-2 15:00:00
000001.XSHG,1day,2014-9-3 15:00:00,2268.39,2290.42,2268.23,2288.63,21247899200,2014-9-3 15:00:00
000001.XSHG,1day,2014-9-4 15:00:00,2290.03,2307.5,2283.36,2306.86,19948998400,2014-9-4 15:00:00
000001.XSHG,1day,2014-9-5 15:00:00,2311.3,2327.56,2307.45,2326.43,21318192000,2014-9-5 15:00:00
000001.XSHG,1day,2014-9-9 15:00:00,2328.43,2331.44,2316.41,2326.53,19699032000,2014-9-9 15:00:00
000001.XSHG,1day,2014-9-10 15:00:00,2318.5,2321.84,2306.56,2318.3,18982899200,2014-9-10 15:00:00
000001.XSHG,1day,2014-9-11 15:00:00,2315.73,2343.39,2304.87,2311.68,22222179200,2014-9-11 15:00:00
000001.XSHG,1day,2014-9-12 15:00:00,2308.35,2331.95,2302.92,2331.95,19347153600,2014-9-12 15:00:00
000001.XSHG,1day,2014-9-15 15:00:00,2330.19,2340.34,2321.77,2339.14,21511241600,2014-9-15 15:00:00
000001.XSHG,1day,2014-9-16 15:00:00,2341.03,2347.55,2294.2,2296.55,30269411200,2014-9-16 15:00:00
000001.XSHG,1day,2014-9-17 15:00:00,2298.98,2309.03,2282.92,2307.89,21084244800,2014-9-17 15:00:00
000001.XSHG,1day,2014-9-18 15:00:00,2303.85,2319.71,2298.08,2315.93,18908904000,2014-9-18 15:00:00
000001.XSHG,1day,2014-9-19 15:00:00,2312.98,2331.26,2305.71,2329.45,17464848000,2014-9-19 15:00:00
000001.XSHG,1day,2014-9-22 15:00:00,2323.55,2323.55,2284.49,2289.87,17584235200,2014-9-22 15:00:00
000001.XSHG,1day,2014-9-23 15:00:00,2289.09,2311.17,2289.09,2309.72,15685516800,2014-9-23 15:00:00
000001.XSHG,1day,2014-9-24 15:00:00,2302.23,2345.38,2298.12,2343.57,22252572800,2014-9-24 15:00:00
000001.XSHG,1day,2014-9-25 15:00:00,2352.86,2365.12,2336.91,2345.1,22568832000,2014-9-25 15:00:00
000001.XSHG,1day,2014-9-26 15:00:00,2339.29,2350.03,2329.96,2347.72,17474828800,2014-9-26 15:00:00
000001.XSHG,1day,2014-9-29 15:00:00,2353.71,2362.99,2346.65,2357.71,20011100800,2014-9-29 15:00:00
000001.XSHG,1day,2014-9-30 15:00:00,2361.32,2365.46,2354.27,2363.87,19391868800,2014-9-30 15:00:00
000001.XSHG,1day,2014-10-8 15:00:00,2368.58,2382.79,2354.29,2382.79,20439732800,2014-10-8 15:00:00
000001.XSHG,1day,2014-10-9 15:00:00,2383.86,2391.35,2367.21,2389.37,23592001600,2014-10-9 15:00:00
000001.XSHG,1day,2014-10-10 15:00:00,2380.76,2386.28,2365.34,2374.54,22467112000,2014-10-10 15:00:00
000001.XSHG,1day,2014-10-13 15:00:00,2366.43,2366.85,2341.28,2366.01,20089931200,2014-10-13 15:00:00
000001.XSHG,1day,2014-10-14 15:00:00,2362.8,2380.52,2349.19,2359.47,19683142400,2014-10-14 15:00:00
000001.XSHG,1day,2014-10-15 15:00:00,2358.23,2374.7,2344.44,2373.67,20280491200,2014-10-15 15:00:00
000001.XSHG,1day,2014-10-16 15:00:00,2361.13,2389.59,2353.41,2356.5,24820116800,2014-10-16 15:00:00
000001.XSHG,1day,2014-10-17 15:00:00,2352.78,2360.57,2313.15,2341.18,21230096000,2014-10-17 15:00:00
000001.XSHG,1day,2014-10-20 15:00:00,2346.05,2357.49,2340.72,2356.73,16002230400,2014-10-20 15:00:00
000001.XSHG,1day,2014-10-21 15:00:00,2355.03,2361.55,2337.62,2339.66,16882828800,2014-10-21 15:00:00
000001.XSHG,1day,2014-10-22 15:00:00,2339.22,2352.09,2324.62,2326.55,15269843200,2014-10-22 15:00:00
000001.XSHG,1day,2014-10-23 15:00:00,2322.32,2329.85,2297.42,2302.42,16263630400,2014-10-23 15:00:00
000001.XSHG,1day,2014-10-24 15:00:00,2303.08,2314.84,2297.01,2302.28,13222529600,2014-10-24 15:00:00
000001.XSHG,1day,2014-10-27 15:00:00,2293.57,2293.57,2279.84,2290.44,13026156800,2014-10-27 15:00:00
000001.XSHG,1day,2014-10-28 15:00:00,2294.01,2337.96,2294.01,2337.87,17859035200,2014-10-28 15:00:00
000001.XSHG,1day,2014-10-29 15:00:00,2343.72,2381.47,2339.75,2373.03,26558868800,2014-10-29 15:00:00
000001.XSHG,1day,2014-10-30 15:00:00,2371.89,2397.05,2366.04,2391.08,29464595200,2014-10-30 15:00:00
000001.XSHG,1day,2014-10-31 15:00:00,2393.18,2423.54,2384.48,2420.18,32576352000,2014-10-31 15:00:00
000001.XSHG,1day,2014-11-3 15:00:00,2425.22,2436.63,2418.63,2430.03,29882124800,2014-11-3 15:00:00
000001.XSHG,1day,2014-11-4 15:00:00,2428.27,2435.1,2417.38,2430.68,30901302400,2014-11-4 15:00:00
000001.XSHG,1day,2014-11-5 15:00:00,2432.17,2434.36,2415.81,2419.25,26360665600,2014-11-5 15:00:00
000001.XSHG,1day,2014-11-6 15:00:00,2419.62,2426.41,2401.84,2425.86,22200508800,2014-11-6 15:00:00
000001.XSHG,1day,2014-11-7 15:00:00,2427.9,2454.41,2407.44,2418.17,29117228800,2014-11-7 15:00:00
000001.XSHG,1day,2014-11-10 15:00:00,2436.63,2473.78,2428.32,2473.67,30062819200,2014-11-10 15:00:00
000001.XSHG,1day,2014-11-11 15:00:00,2483.65,2508.62,2445.96,2469.67,41190406400,2014-11-11 15:00:00
000001.XSHG,1day,2014-11-12 15:00:00,2454.6,2494.62,2445.1,2494.48,25293385600,2014-11-12 15:00:00
000001.XSHG,1day,2014-11-13 15:00:00,2495,2507.58,2471.41,2485.61,29503705600,2014-11-13 15:00:00
000001.XSHG,1day,2014-11-14 15:00:00,2477.97,2480.97,2457.05,2478.82,22060761600,2014-11-14 15:00:00
000001.XSHG,1day,2014-11-17 15:00:00,2506.86,2508.5,2472.45,2474.01,21568780800,2014-11-17 15:00:00
000001.XSHG,1day,2014-11-18 15:00:00,2474.18,2477,2449.81,2456.37,20106259200,2014-11-18 15:00:00
000001.XSHG,1day,2014-11-19 15:00:00,2452.15,2461.49,2442.71,2450.99,18623577600,2014-11-19 15:00:00
000001.XSHG,1day,2014-11-20 15:00:00,2443.28,2458.22,2437.7,2452.66,16549521600,2014-11-20 15:00:00
000001.XSHG,1day,2014-11-21 15:00:00,2452.63,2488.2,2446.65,2486.79,21223977600,2014-11-21 15:00:00
000001.XSHG,1day,2014-11-24 15:00:00,2505.53,2546.23,2495.52,2532.88,36348582400,2014-11-24 15:00:00
000001.XSHG,1day,2014-11-25 15:00:00,2532,2568.04,2527.28,2567.6,31431558400,2014-11-25 15:00:00
000001.XSHG,1day,2014-11-26 15:00:00,2572.65,2604.89,2570.92,2604.34,33712726400,2014-11-26 15:00:00
000001.XSHG,1day,2014-11-27 15:00:00,2615.37,2631.4,2599.64,2630.49,36407571200,2014-11-27 15:00:00
000001.XSHG,1day,2014-11-28 15:00:00,2629.63,2683.13,2622.52,2682.84,46588003200,2014-11-28 15:00:00
000001.XSHG,1day,2014-12-1 15:00:00,2691.72,2720.74,2669.27,2680.16,44679174400,2014-12-1 15:00:00
000001.XSHG,1day,2014-12-2 15:00:00,2667.82,2776.99,2665.78,2763.55,43773337600,2014-12-2 15:00:00
000001.XSHG,1day,2014-12-3 15:00:00,2768.68,2823.42,2733.95,2779.53,56212032000,2014-12-3 15:00:00
000001.XSHG,1day,2014-12-4 15:00:00,2783.47,2900.51,2772.7,2899.46,53268771200,2014-12-4 15:00:00
000001.XSHG,1day,2014-12-5 15:00:00,2926.57,2977.77,2813.43,2937.65,64050028800,2014-12-5 15:00:00
000001.XSHG,1day,2014-12-8 15:00:00,2907.82,3041.56,2880.42,3020.26,58757088000,2014-12-8 15:00:00
000001.XSHG,1day,2014-12-9 15:00:00,2992.49,3091.32,2834.76,2856.27,77199840000,2014-12-9 15:00:00
000001.XSHG,1day,2014-12-10 15:00:00,2855.94,2946.55,2808,2940.01,51288691200,2014-12-10 15:00:00
000001.XSHG,1day,2014-12-11 15:00:00,2912.35,2965.67,2893.27,2925.74,48263273600,2014-12-11 15:00:00
000001.XSHG,1day,2014-12-12 15:00:00,2929.36,2961.97,2914.96,2938.17,40948080000,2014-12-12 15:00:00
000001.XSHG,1day,2014-12-15 15:00:00,2921.45,2960.16,2891.61,2953.42,40037168000,2014-12-15 15:00:00
000001.XSHG,1day,2014-12-16 15:00:00,2953.81,3021.61,2943.91,3021.52,45384272000,2014-12-16 15:00:00
000001.XSHG,1day,2014-12-17 15:00:00,3031.95,3076.2,2993.33,3061.02,54250316800,2014-12-17 15:00:00
000001.XSHG,1day,2014-12-18 15:00:00,3062.8,3089.72,3030.55,3057.52,43590496000,2014-12-18 15:00:00
000001.XSHG,1day,2014-12-19 15:00:00,3053.07,3117.53,3018.42,3108.6,52107350400,2014-12-19 15:00:00
000001.XSHG,1day,2014-12-22 15:00:00,3129.27,3189.35,3091.14,3127.45,67937190400,2014-12-22 15:00:00
000001.XSHG,1day,2014-12-23 15:00:00,3085.08,3136.57,3026.01,3032.61,43776240000,2014-12-23 15:00:00
000001.XSHG,1day,2014-12-24 15:00:00,3039.21,3049.77,2934.91,2972.53,37680524800,2014-12-24 15:00:00
000001.XSHG,1day,2014-12-25 15:00:00,2992.46,3073.35,2970.47,3072.54,37694777600,2014-12-25 15:00:00
000001.XSHG,1day,2014-12-26 15:00:00,3078.01,3164.11,3064.28,3157.6,46070092800,2014-12-26 15:00:00
000001.XSHG,1day,2014-12-29 15:00:00,3212.56,3223.64,3127.01,3168.02,51011142400,2014-12-29 15:00:00
000001.XSHG,1day,2014-12-30 15:00:00,3160.8,3190.01,3130.48,3165.82,39772531200,2014-12-30 15:00:00
000001.XSHG,1day,2014-12-31 15:00:00,3172.6,3239.16,3157.54,3234.68,40599852800,2014-12-31 15:00:00
000001.XSHG,1day,2015-1-5 15:00:00,3258.63,3369.28,3253.88,3350.52,53135238400,2015-1-5 15:00:00
000001.XSHG,1day,2015-1-6 15:00:00,3330.8,3393.7,3303.6,3351.45,50166169600,2015-1-6 15:00:00
000001.XSHG,1day,2015-1-7 15:00:00,3326.65,3374.55,3312.21,3373.95,39191888000,2015-1-7 15:00:00
000001.XSHG,1day,2015-1-8 15:00:00,3371.96,3380.45,3285.33,3293.46,37113116800,2015-1-8 15:00:00
000001.XSHG,1day,2015-1-9 15:00:00,3276.97,3404.62,3267.62,3285.41,41024086400,2015-1-9 15:00:00
000001.XSHG,1day,2015-1-12 15:00:00,3258.21,3275.19,3191.72,3229.32,32206467200,2015-1-12 15:00:00
000001.XSHG,1day,2015-1-13 15:00:00,3223.54,3258.93,3214.75,3235.3,23072576000,2015-1-13 15:00:00
000001.XSHG,1day,2015-1-14 15:00:00,3242.34,3268.35,3194.08,3222.44,24019080000,2015-1-14 15:00:00
000001.XSHG,1day,2015-1-15 15:00:00,3224.07,3336.6,3207.55,3336.45,28254620800,2015-1-15 15:00:00
000001.XSHG,1day,2015-1-16 15:00:00,3343.6,3400.28,3341.02,3376.49,33987680000,2015-1-16 15:00:00
000001.XSHG,1day,2015-1-19 15:00:00,3189.73,3262.08,3095.21,3116.35,40109878400,2015-1-19 15:00:00
000001.XSHG,1day,2015-1-20 15:00:00,3114.56,3189.88,3100.48,3173.05,35708080000,2015-1-20 15:00:00
000001.XSHG,1day,2015-1-21 15:00:00,3189.09,3336.37,3178.82,3323.61,41095600000,2015-1-21 15:00:00
000001.XSHG,1day,2015-1-22 15:00:00,3327.32,3352.38,3294.51,3343.34,35338297600,2015-1-22 15:00:00
000001.XSHG,1day,2015-1-23 15:00:00,3357.1,3406.56,3328.57,3351.76,36624924800,2015-1-23 15:00:00
000001.XSHG,1day,2015-1-26 15:00:00,3347.26,3384.14,3321.91,3383.18,31754099200,2015-1-26 15:00:00
000001.XSHG,1day,2015-1-27 15:00:00,3389.85,3389.85,3290.48,3352.96,37451750400,2015-1-27 15:00:00
000001.XSHG,1day,2015-1-28 15:00:00,3325.72,3354.46,3295.04,3305.74,30192710400,2015-1-28 15:00:00
000001.XSHG,1day,2015-1-29 15:00:00,3259,3286.79,3234.24,3262.3,27465862400,2015-1-29 15:00:00
000001.XSHG,1day,2015-1-30 15:00:00,3273.75,3288.3,3210.36,3210.36,25831254400,2015-1-30 15:00:00
000001.XSHG,1day,2015-2-2 15:00:00,3148.14,3175.13,3122.57,3128.3,25086160000,2015-2-2 15:00:00
000001.XSHG,1day,2015-2-3 15:00:00,3156.09,3207.88,3129.77,3204.91,24819216000,2015-2-3 15:00:00
000001.XSHG,1day,2015-2-4 15:00:00,3212.82,3238.98,3171.14,3174.13,24909808000,2015-2-4 15:00:00
000001.XSHG,1day,2015-2-5 15:00:00,3251.21,3251.21,3136.38,3136.53,30613929600,2015-2-5 15:00:00
000001.XSHG,1day,2015-2-6 15:00:00,3120.09,3129.47,3053.58,3075.91,24674966400,2015-2-6 15:00:00
000001.XSHG,1day,2015-2-9 15:00:00,3063.51,3118.66,3049.43,3095.12,20610838400,2015-2-9 15:00:00
000001.XSHG,1day,2015-2-10 15:00:00,3090.49,3141.84,3084.96,3141.59,19381710400,2015-2-10 15:00:00
000001.XSHG,1day,2015-2-11 15:00:00,3145.77,3166.42,3139.32,3157.7,17284009600,2015-2-11 15:00:00
000001.XSHG,1day,2015-2-12 15:00:00,3157.96,3181.64,3134.52,3173.42,19459230400,2015-2-12 15:00:00
000001.XSHG,1day,2015-2-13 15:00:00,3186.81,3237.02,3183.05,3203.83,26129043200,2015-2-13 15:00:00
000001.XSHG,1day,2015-2-16 15:00:00,3206.14,3228.63,3196.09,3222.36,22379742400,2015-2-16 15:00:00
000001.XSHG,1day,2015-2-17 15:00:00,3230.88,3255.44,3230.88,3246.91,22833262400,2015-2-17 15:00:00
